Mensaje,Clasificación
vamos todos masivamente apoyando a morena la esperanza de mexico,1
"Santos Gonzalez Yescas es el candidato idóneo para la Presidencia Municipal de San Luis Rio Colorado, Sonora.",1
Asies  y asisera  santos Gonzales yescas  y tambien  Amlo,1
Viva el peje y santos,1
MORENA,1
Vamos mi gente bonita de san luis a cambiar la historia. Solo Santos Gonzalez Yescas puede hacerlo tengan confianza de que el va a transformar la ciudad positivamente sin deudarnos. Ni robando. Solo trabajando y haciendo las cosas como Dios manda. Poniendo el 200% en cada actividad. Vamos a darnos una oportunidad de ser parte de este cambio.,1
"No se deben confiar, el Prian y el INE, son muy chuecos, ojo, mucho ojo
Todo con MORENA",-1
Vamos todos botemos por Andrés Manuel López Obrador  el es ya nuestro presidente,1
"Todos san luis. Con santos gonzalez yescas
.m.o.r.e.n.a.... Es el cambio",1
Lo que necesita san luis es un hombre de la talla de santos Gonzales lo conosco desde niño,1
Y vamos con todo mi jente y vamos a ver el canvio de mexico con el favor de dios y la virjen de guadalupe,1
Santos González yescas candidato ala presidencia de San Luis río colorado lo apollamos  estamos con ud,1
#Morena,1
AHI LO MIRÉ,1
AMLO viva el peje y satos yesca fuersa,1
Bamos con todo compa,1
Animo,1
Estamos con santos González,1
Y vamos con todo mi jente y vamos a ver el canvio de mexico con el favor de dios y la virjen de guadalupe,1
morena Santos Gonzalez Yescas saludos,1
Gracias por su amena visita y charla y por tomarnos en cuenta y saber que para MORENA si existimos en el mapa..,1
El Golfo merece un cambio verdadero y MORENA es la clave,1
Viva morena y viva el golfo,1
"Ni le busques por otro lado... 

El mar es de los pescadores... 

AMLO Presidente 2018-2024...",0
Yo no m.di cuenta,0
#AMLOVE2018,1
Puro Santos Gonzalez Yescas y todo San Luis Río Colorado Es Morena Página -Oficial,1
Asies mi estimado señor pues todo lo que sease es por nuestra familia y sease con el corazón muchas felicidades para usted y nuestro querido presidente que sela pase muy vien mis rrespetos para usted y su familia y para nuestro futuro presidente ATTE OLI,1
Puro para delante los pescadores del golfo estamos con AMLO,1
Necesitamos votar También en San Luis por Morena,1
Contodo que para mi ya son los ganadores,1
