Mensaje,Clasificación
!!! Sin duda alguna y sumando cada d�_a mas!!! !! MORENA VA!!!...,1
Enhorabuena diputada Celida siempre lo mejor para la niձez de su Estado Sonora y por su noble causa en todo los rubros para el apoyo de la niձez Mexicana bien saludos,1
A todos mis amigos y amigas de Hermosillo voten por Cթlida,1
mi voto para celida lopez!!,1
Que Bonita mujer!!! Me gusta para gobernadora de Sonora en la proxima eleccion!!!,1
Saludito licenciada yo soy un ciudadano quթ tiene en la mira en que sea la presidenta municipal el voto va para usted y de toda mi familia el voto que Diosito la bendiga y le conceda la presidencia un fuerte abrazo,1
Saludos de Tijuana estamos con Andrթs Manuel L�_pez Obrador votemos por MORENA Y PT y PES,1
Saludos Lincensiada Dios q Los Bendiga en Todos,1
Sigan los թxitos Lic. Celida saludos bendiciones bien,1
Celida Lopez presidenta municipal de hermosillo,1
Saludos Licenciada!! Puro Morena!!,1
Se ve muy bien  licenciada saludos desde Los Cabos San Lucas BCS,1
Perfecto no le vaya a pasar lo del pato de lucas!!,1
Muy bien ay q ponerle moneditas,0
Celida presidenta,0
Y por que ah�_ que echarle monedas????  Amenos Ami no se me hace bien que cobren,-1
Eso tmbn deber�_an de empezar a quitarlos... No tienen porke ching.....Cobrar por estacionarse p�_blicamente...,-1
Celida Presidenta,0
"Celida este problema se gener�_ en el gobierno de Lopez Caballero, que en parte ese fue uno de los m�_ltiples motivos por los que desgraciadamente volvio el PRI al municipio. Es verdad que Maloro juro arreglarlo pero ya sabemos el pթsimo desempeձo de su gobierno. Aumento tanto la inseguridad que los baches (la ppal queja de ALC) pas�_ a segundo plano.",1
Es una verg�_enza como tienen a hermosillo y obregon urge sacarlos. Lo bueno es que ya se van,-1
"Es la mala calidad de los materiales que utilizan, c�_mo se pide que hagan una auditor�_a a las empresas que hacen esos trabajos y las facturas infladas c�_mo si pusieran concreto hidrՍulico? Es tan frustrante ver los trabajos de recarpeteo, tardan mՍs en tapar que en salir de nuevo",-1
"No mienta Cթlida por querer quedar bien ,Tijuana estՍ mucho peor , no confunda investigue no por un hueso falsee las cosas",-1
"Oiga yo creo que los pri�_stas doble moral , ya no le van a salir con el mismo cuento de que fue padrecista.     Ya que se unieron en. CajeEME con 50 lideres del gobierno. De padres..........AMLO#2018",0
Buenos dias  hamiga CELIDA... VAMOS..HJUNTOS  A CER HISTORIA  ESTAMOS CON EL LIC....AMLO,1
"Saludos y bendiciones Diputada!! Todos con Morena, los Ocupamos Con Urgencia!! Devuelvan la tranquilidad y estabilidad a este hermosillo y a mexico entero!! Puros LOPEZ!!",1
Saludos  Diputada vamos y seguimos adelante  con el sr. Obrador bien bendiciones amiga,1
SALUDOSS  CELIDA!!!!#JUNTOS HAREMOS HISTORIA#,1
Felicidades Seձora...un abrazo cordial...,1
Ya llego ya esta aqu�_ la que va sacar al pri...y quien es ? Pues claro CELIDA PRESIDENTA,1
Muy guapa celida saludos y adelante con todo,1
Yo con Celida L�_pez  juntos haremos historia !!!!,1
Un saludote mi diputada ya sabe puro. Amlo asi nomas,1
#AMLO2018 y voto masivo para todo morena _���,0
Saludos desde mi celda...antentamente tu amigo memo padres,-1
"VAMOS CON TODO, EL VOTO SIGUE FIRME, A.M.L.O  y toda LA PLANILLA MORENA",1
"Mi voto, es por ya sabes quien AMLO PRESIDENTE 2018",1
De acuerdo,1
Ninguna yo xMORENA DE ARRIBA HASTA ABAJO,1
Todos lo atacan x q ya les entro la merma,0
Es f�cil subirse al cami�_n cuando va lleno,-1
"En hermosillo ,en sonora y en M_xico sin duda Morena tiene los candidatos ideales para lograr todos juntos hacer historia !! MORENA VA!! VOTO MASIVO PARA MORENA!!..",1
