Mensaje,Clasificación,,,,,,,,,,,,,,,,,
Así es Sr Almada...los ciudadanos confiamos en usted  y este 1o de julio así lo manifestaremos. Estoy segura que hará grandes acciones como ,1,,,,,,,,,,,,,,,,,
Comparto tu vision Gustavo #PuroPaDelante viene lo mejor para Cajeme saludos.,1,,,,,,,,,,,,,,,,,
Se les olvidó que para eso llegaron a dnd están, para ayudar a las personas y su comunidad.,-1,,,,,,,,,,,,,,,,
"Así es Gustavo Almada la clase política actual no tiene interés alguno por la ciudadanía, solo en tiempos electorales ahí los vemos; abrazan,-1",,,,,,,,,,,,,,,,,,
Así es Sr Almada...para entender a la gente que más nos necesita hay que estar en sus zapatos,  a los gobiernos actuales no les interesa el ,-1,,,,,,,,,,,,,,,,
Tiene toda la razon que la administracion.actual.llegaron.a sentsrse y refrigerarse fui varias veces a solicitar ayuda no.para mi para una p,-1,,,,,,,,,,,,,,,,,
Asi es Sr. Almada tengo la  plena confianza que Usted y Su Sra.y  Todo el equipo de trabajo haran un buen cambio ya basta de corruptos,1,,,,,,,,,,,,,,,,,
Efectivamente Gustavo Almada Bórquez al lugar en donde están los ciudadanos es a donde tienen que acudir los servidores público a atender su,1,,,,,,,,,,,,,,,,,
He visto que la mayoría dice en sus promesas que buscan un cambio, que buscan un Cajeme diferente, vivimos en una ciudad con demasiada VIOLE,-1,,,,,,,,,,,,,,,
Al ganar usted señor Almada, vaya y vuelva a las comunidades donde prometio y convenció para que votarán por usted y no se deje llevar por p,0,,,,,,,,,,,,,,,,
Claro que sí Gustavo con tu ayuda y el apoyo de todos los cajemenses esto se va acabar porque vamos a trabajar con un alcalde honesto y sobr,1,,,,,,,,,,,,,,,,,
Usted cuenta con mi voto y confianza, sólo espero que si gana no nos vaya a defraudar como los anteriores, porque cuando andan de candidatos,1,,,,,,,,,,,,,,,
Le deseo mucho éxito. El triunfo ya es de usted.,1,,,,,,,,,,,,,,,,,
Estamos con usted Señor Almada,, Dios lo bendiga,1,,,,,,,,,,,,,,,
VAMOS X EL CAMBIO,1,,,,,,,,,,,,,,,,,
Eso es todo,1,,,,,,,,,,,,,,,,,
Si se puede,1,,,,,,,,,,,,,,,,,
Qué piensa de Andrés Manuel López Obrador?,0,,,,,,,,,,,,,,,,,
Así es!! Ya habemos muchos Almados para cuando llegue el día de elegir, #PuroPaDelante,1,,,,,,,,,,,,,,,,
Con todo el favor de Dios Sr. Gustavo Almada!!....,1,,,,,,,,,,,,,,,,,
Asi será  ¡ 🍊🍊🍊🍊,1,,,,,,,,,,,,,,,,,
Claro que sí. Gistavo,1,,,,,,,,,,,,,,,,,
👍,0,,,,,,,,,,,,,,,,,
Puro pdo es correcto igual que todos se vendió con Claudia las elecciones pasadas y quiere más no tiene llenadera,-1,,,,,,,,,,,,,,,,,
Ojala y que cambie de verdad.,1,,,,,,,,,,,,,,,,,
Esos del PRI no se qué celebran si nunca supieron trabajar por esta comunidad. La solución en Cajeme se llama Gustavo Almada!!,1,,,,,,,,,,,,,,,,,
Lo bueno que los colorados ya se van.  Y se acerca un nuevo aire de cambio para Cajeme.  Vamos con todo Gustavo Almada,1,,,,,,,,,,,,,,,,,
Cada día se suma más gente a Movimiento Ciudadano, muchas felicidades Sr. Gustavo Almada,1,,,,,,,,,,,,,,,,
"Bien Gustavo Almada siempre en contacto con los cajemenses. No como los ""otros"" .,1",,,,,,,,,,,,,,,,,,
Luego se ve el cariño de la gente hacia tú persona Gustavo puro pa delante.,1,,,,,,,,,,,,,,,,,
Se lucha para el pueblo y por el pueblo , sin descanso hasta llegar a la meta gobernar para el pueblo desde el palacio mpal.,-1,,,,,,,,,,,,,,,,
Como te la juegas viejo ojala conocieras caerme de la 200 para el sur mi hermano tienes los recursos para arreglar la cuidas no necesitas el,-1,,,,,,,,,,,,,,,,,
La gente voltea para ver y saludar  al Próximo Presidente Gustavo Almada.,,,,,,,,,,,,,,,,,,
Yo lo salude de lejos :) bien almadas íbamos,1,,,,,,,,,,,,,,,,,
Una comidita en el Vips como la vez pasada con la Pavlovich y ganara emeterio como gano faustino,0,,,,,,,,,,,,,,,,,
Que tremendo la forma de como reaccionan cuando se sienten perdidos, nosotros con usted Sr Gustavo Almada, puropadelante,1,,,,,,,,,,,,,,,
Gustavo Almada Bórquez en el 2015 estuvimos contigo y este 2018 seguimos contigo, el enano ese no tiene nada que hacer, saludos.,1,,,,,,,,,,,,,,,
Gustavo Almada, muy bien por tus comentarios acercándose el tiempo para iniciar la campaña. 👍,1,,,,,,,,,,,,,,,,
Bien dicho...animo gustavo y animo que cajeme tiene que ser bonito y honesto como años atras...mi familia esta con usted,1,,,,,,,,,,,,,,,,,
No más no te vendas como la otra ocasión por eso no levantas por vendido,-1,,,,,,,,,,,,,,,,,
Así es Obregon merece un debate,así que quede claro  que  propuestas tienen los candidatos. Merce crecimiento  esta ciudad!,1,,,,,,,,,,,,,,,,
Vamos con todo Gustavo. Tienes el apoyo de los ciudadanos que realmente queremos un cambio verdadero y honesto,1,,,,,,,,,,,,,,,,,
Don Gustavo una pregunta, en caso de usted llegar a ser Presidente Municipal les seguiria pagando a los medios ??? es muy obvio de que lado ,-1,,,,,,,,,,,,,,,,
Que burros aqui no tiene nada que ver el viejo loco  no cabe duda que estan endiosados y no ven mas alla de las cosas,-1,,,,,,,,,,,,,,,,,
UD es el bueno todo el tiempo lo e dicho saludos,1,,,,,,,,,,,,,,,,,
Vamos con todo Gustavo !!..estamos contigo y con toda la fórmula ..,1,,,,,,,,,,,,,,,,,
Toda mi familia está con usted señor puro para delante,1,,,,,,,,,,,,,,,,,
Puro pa delante Gustavo la mayoría de la gente está contigo,1,,,,,,,,,,,,,,,,,
