Mensaje,Clasificación
"De que privilegio gozan los policías ?
O es que hay ciudadanos de primera y de segunda o en qué artículo del reglamento de tránsito está que",-1
Ps alejale anpaller.. Ellos son los reyes.. Les comenta uno .. Y los ofende alos sres. Policías.. Ellos deben de poner el ejemplo,-1
Realmente necesitamos ala señora myrna para k ponga orden.. Ya en hermosillo,1
"Su correo electrónico para propuestas???

juliomtz0000.jm@gmail.com",0
A toda hora                                       se roban hasta los bote de basura  : ),-1
Los vecinos de Javier Gándara reportan que uno ni se puede descuidar por que les roban hasta los botes de basura,-1
"A todas horas es insegura!,
Fco. Villa - Ley 57",-1
😡,0
Misión del sol,0
La.inseguridad de mi colonia empezo desde que panistas y priistas gobiernan  la cd,-1
Aquí en el ejido la Victoria hay demasiada inseguridad,-1
Balderrama madrugada,0
Mucha inseguridad ocupamos orden eb esta ciudad.. Asi cuando vendran inversiones,-1
Todo el día es insegura.,-1
A toda hora señora myrna.. Acá para san bosco hay mucha delincuencia.. Necesitamos de su ayuda..,1
Todo el dia es insegura...😡😣😔,-1
Que preguntas ?!?! Que no vive en México? Que no miras las redes sociales? No sé entera de nada?!? Inche preguntas p******,-1
Todo el dia es insegura!!!,-1
Mi ex quemó mi casa la semana pasada y eso que hay guardia 😔,-1
"Claro es muy importante ,pero a que horas,Dra Mirna ,salen de su casa a las 7am y regresan a las cuatro de la tarde ,con un buen bonche de t",0
"Siguen los bachesy levantaron toda la Mte  Verde ,la Reforma Y la Gpe Victoria,y. Hasta mi nieta de 5añitos me dijo,Abuela porque la andan a",-1
animo señora myrna. solo con usted va asalir adelante hermosillo.,1
un lugar  en internet  para presentar  o mandar  las  deficiencias  de basuraagua   luz que  se  pubiqen  cada  semana  lo que pide3n los ci,-1
un buzon  de sugerencias  serio falta,-1
"Vamos siga trabajando,animo,dios la cuide,abrazoa",1
Empleo,0
"Abasto y concientizacion del uso del agua.  
Cambio de líneas colapsadas de agua y drenaje.",0
mi voto para ud.,1
Así lo dejo tu compadre,1
Y sin agua,-1
"Y lo más importante TU COMO REGIDORA LE IDOLATRABAS TODO LO QUE HACÍA. 
Permitiste que saquearan Hermosillo y ahora vienes a decir que eres ",-1
"Mi voto para Usted Myrna Rea, estoy segura que Hermosillo estará en buenas manos!!",1
Mi voto con Myrna Rea Sanchez,1
"Hermosillo es lo que necesita, un ciudadano que haya nacido para Servir y No para Servirse como lo que acabamos de tener, que gobierne para ",1
Aimo  todos con mirna,1
#FIERROPORHERMOSILLO,1
"Animo, #fierroporhermosillo!!",1
#Fierrox Hermosillo,1
#fierroporhermosillo,1
#FIERROPORHERMOSILLO,1
"Fierro por hermosillo, usted
Puede con eso y más 😁👍🏻",1
Fierro Por Hermosillo,1
Animo  con toda la fe,1
Me encantaria k kedarse ud..Como es una empresaria exitosa no hay necesidad de robar y así veremos la cd k tanto anhelamos,1
Adelante sra con toda la fe,1
Myrna quiero participar en su campaña política soy militante activo por más de 20 años desde acción juvenil.,0
mmm yo creo q pianistas no cabemos los pianistas si Jesús están cerrados para nosotros,0
Fierro,0
#FierroPorHermosillo,1
"Definitivamente, Sra Myrna Rea, es la mejor opción para Hermosillo!!",1
No hay más ! Mirna debe ser nuestra próxima presidenta mpal. Fierro por Mirna rea,1
no se hace,0
Solo usted puede poner orden 👍🏻,1
Es la misma chingadera,-1
mmmsi así no los aguantamos de ratas.imagina con alta tecnología tendrían el control de todos los tiradores y ratas de aqui,-1
Callate el hocico jose ayala has de ser mas rata tu...contrate mas policias señora hace falta mas personal...,-1
Y la dignidad donde queda?,-1
"Así es Sea Mirna Rea muuuuy bueno todo eso aumentaran nuestros puntos   anaya es persona preparada,,todo contesto,muy preciso y aprovecho mu",1
"#FierroxHermosillo
MirnaRea",1
"#FIERROPORHERMOSILLO
#ANAYAPRESIDENTE
#KINOLISTO",1
Indiscutible RAnaya fue el mejor....#fierroporhermosillo!!,1
Felicidades Myrna!,1
"Con el apoyo y voluntad de servir de todos en equipo es como se logran las cosas trabajando por un objetivo 
#MIRNAREAPDTA.
#VAMOSCONTODO
",1
"Con el apoyo y voluntad de servir de todos en equipo es como se logran las cosas trabajando por un objetivo 
#MIRNAREAPDTA.
#VAMOSCONTODO",1
#FIERROPORHERMOSILLO,1
Vamos con todo sra si se puede .,1
#FIERROPORHERMOSILLO,1
Vamos Myrna adelante tu puedes,1
#FierroPorHermosillo con todo.,1
Felicidades  amiga adelante si se puede,1
"Siga adelante ,primeramente Dios todo saldrá bien,",1
Quiteme porfavor de su lista de teléfonos con esa grabación de propaganda política que bajará el costo del agua primero gane luego me dice q,0
#FIERROPORHERMOSILLO,1
"Así  vea el horizonte,bello con una luz de esperanza,vamos de pie como el roble,",0
Oooooooo!!!,0
Así es fuera lo que no sirve..,1
Como ke ya me esta convenciendo,1
